track_name,track_id,primary_artist,all_artists,album_name,album_type,release_date,duration_mins,explicit,album_art_url,spotify_url,release_year,duration_bucket,genre_bucket
Moonstruck,3gYWGRS64XrGSrjD3vvtga,ENHYPEN,ENHYPEN,ROMANCE : UNTOLD,album,2024-07-12,2.64,False,https://i.scdn.co/image/ab67616d0000b273653887a83332de0350151f10,https://open.spotify.com/track/3gYWGRS64XrGSrjD3vvtga,2024,Standard,K-Pop
Lost Island,53cWZA9OROeiYu1vHh4f4i,ENHYPEN,ENHYPEN,THE SIN : VANISH,album,2026-01-16,2.76,False,https://i.scdn.co/image/ab67616d0000b27392beb54472282ca313f34055,https://open.spotify.com/track/53cWZA9OROeiYu1vHh4f4i,2026,Standard,K-Pop
Orange Flower (You Complete Me),5Cb3JSisvjlZhjSfYD6d7C,ENHYPEN,ENHYPEN,ORANGE BLOOD,album,2023-11-17,3.0,False,https://i.scdn.co/image/ab67616d0000b273d364c1f2a6fede40055b02d5,https://open.spotify.com/track/5Cb3JSisvjlZhjSfYD6d7C,2023,Standard,K-Pop
Blessed-Cursed,7ecbsiAQ6PNdiAq0hplVZo,ENHYPEN,ENHYPEN,DIMENSION : ANSWER,album,2022-01-10,2.85,False,https://i.scdn.co/image/ab67616d0000b2731c1ea5bfa5680ac877acdd55,https://open.spotify.com/track/7ecbsiAQ6PNdiAq0hplVZo,2022,Standard,K-Pop
Je te laisserai des mots,44A0o4jA8F2ZF03Zacwlwx,Patrick Watson,Patrick Watson,Je te laisserai des mots,single,2010-09-10,2.68,False,https://i.scdn.co/image/ab67616d0000b2738ea92a85c492af8a38750549,https://open.spotify.com/track/44A0o4jA8F2ZF03Zacwlwx,2010,Standard,Pop
No Doubt,44hqFxUWsADWewEJELnncj,ENHYPEN,ENHYPEN,ROMANCE : UNTOLD -daydream-,album,2024-11-11,2.79,False,https://i.scdn.co/image/ab67616d0000b273ac9d6ee9be9186ff1a28c900,https://open.spotify.com/track/44hqFxUWsADWewEJELnncj,2024,Standard,K-Pop
Bills,2nfluhFVrO5OBXPzRWlwlz,ENHYPEN,ENHYPEN,DARK BLOOD,single,2023-05-22,2.93,False,https://i.scdn.co/image/ab67616d0000b2731d03b5e88cee6870778a4d27,https://open.spotify.com/track/2nfluhFVrO5OBXPzRWlwlz,2023,Standard,K-Pop
A Little More,7xqCJCrlpRSIHDDJsLeT0U,Ed Sheeran,Ed Sheeran,Play,album,2025-09-12,3.2,True,https://i.scdn.co/image/ab67616d0000b273b07c28bb3192bdfb585fb438,https://open.spotify.com/track/7xqCJCrlpRSIHDDJsLeT0U,2025,Standard,Pop
God of Light Music,0xZ4WU5UfctiSeETi6pMEo,SEVENTEEN,SEVENTEEN,God of Light Music,single,2023-12-25,1.53,False,https://i.scdn.co/image/ab67616d0000b2737994bb03ec228dde677a37b3,https://open.spotify.com/track/0xZ4WU5UfctiSeETi6pMEo,2023,Short,K-Pop
Money On My Mind,15HsdLcI9txtlLpsHBbEjn,Sam Smith,Sam Smith,In The Lonely Hour (Deluxe),album,2014-01-01,3.21,False,https://i.scdn.co/image/ab67616d0000b273aeca5ce27cb0041319cbb734,https://open.spotify.com/track/15HsdLcI9txtlLpsHBbEjn,2014,Standard,Pop
Sweet Venom,2YmfV4lAjrAQvuggKCUX6m,ENHYPEN,ENHYPEN,ORANGE BLOOD,album,2023-11-17,2.48,False,https://i.scdn.co/image/ab67616d0000b273d364c1f2a6fede40055b02d5,https://open.spotify.com/track/2YmfV4lAjrAQvuggKCUX6m,2023,Short,K-Pop
jellyous,51pREVFJeAJGvhJ1rYCKZH,ILLIT,ILLIT,jellyous (Feat. Sophie Powers),single,2025-08-01,2.72,False,https://i.scdn.co/image/ab67616d0000b273d3f0c1aaebe2b11b0b984251,https://open.spotify.com/track/51pREVFJeAJGvhJ1rYCKZH,2025,Standard,K-Pop
