track_name,track_id,primary_artist,all_artists,album_name,album_type,release_date,duration_mins,explicit,album_art_url,spotify_url,release_year,duration_bucket,track_name_clean,energy,valence,danceability,acousticness,instrumentalness,speechiness,tempo
Blockbuster feat. YEONJUN of TOMORROW X TOGETHER,08XshFxOo9rcQagObgcoK6,ENHYPEN,"ENHYPEN, YEONJUN",DIMENSION : DILEMMA,album,2021-10-12,3.79,False,https://i.scdn.co/image/ab67616d0000b2736772cf096be8acc1df092519,https://open.spotify.com/track/08XshFxOo9rcQagObgcoK6,2021,Long,blockbuster feat. yeonjun of tomorrow x together,0.926,0.642,0.495,0.0384,0.0,0.323,159.922
Stealer,5EK13IYnr1NKdWDZhLDlBl,ENHYPEN,ENHYPEN,THE SIN : VANISH,album,2026-01-16,2.94,False,https://i.scdn.co/image/ab67616d0000b27392beb54472282ca313f34055,https://open.spotify.com/track/5EK13IYnr1NKdWDZhLDlBl,2026,Standard,stealer,,,,,,,
What is Love?,5Ek40FyMPprcvtyZDjqylX,TWICE,TWICE,Summer Nights,album,2018-07-09,3.47,False,https://i.scdn.co/image/ab67616d0000b2738e81913ace9f03cf2adb2056,https://open.spotify.com/track/5Ek40FyMPprcvtyZDjqylX,2018,Standard,what is love?,,,,,,,
What a Feeling,0iSWAT0EL8TwmzcgBjKMh6,One Direction,One Direction,Made In The A.M. (Deluxe Edition),album,2015-11-13,3.34,False,https://i.scdn.co/image/ab67616d0000b2734a075ca70ae4143a37eb4fbe,https://open.spotify.com/track/0iSWAT0EL8TwmzcgBjKMh6,2015,Standard,what a feeling,0.729,0.595,0.532,0.382,0.0,0.0474,121.97
SIGNAL,3BbfgC1wM6x5TRYgAVZYi0,TWICE,TWICE,SIGNAL,single,2017-05-15,3.28,False,https://i.scdn.co/image/ab67616d0000b2736fcf4d00261921e0363bf983,https://open.spotify.com/track/3BbfgC1wM6x5TRYgAVZYi0,2017,Standard,signal,0.91,0.303,0.433,0.00173,2.99e-05,0.0643,83.408
CRIMINAL LOVE,0Eglu3fErlG196PtTwCUPM,ENHYPEN,ENHYPEN,CRIMINAL LOVE,single,2023-07-31,3.59,False,https://i.scdn.co/image/ab67616d0000b27328980bc854e40cb7a31fec98,https://open.spotify.com/track/0Eglu3fErlG196PtTwCUPM,2023,Long,criminal love,,,,,,,
Reggaetón Lento (Remix),58gqyeFXhOttZW3yetJGPN,CNCO,"CNCO, Little Mix",CNCO,album,2018-04-06,3.15,False,https://i.scdn.co/image/ab67616d0000b273ae4d3c15cac3a28f3e99766e,https://open.spotify.com/track/58gqyeFXhOttZW3yetJGPN,2018,Standard,reggaetón lento (remix),0.911,0.624,0.534,0.15,0.0,0.0852,93.767
Virtual Angel,1iGNZerzZHm2GLu7k1OS3J,ARTMS,ARTMS,<Dall>,album,2024-05-31,2.89,False,https://i.scdn.co/image/ab67616d0000b2733eaf9b3c1c804fec2bb06ac0,https://open.spotify.com/track/1iGNZerzZHm2GLu7k1OS3J,2024,Standard,virtual angel,,,,,,,
FANCY,2FXd6kKCtBIc6UfN1gH1pA,TWICE,TWICE,FANCY YOU,single,2019-04-22,3.56,False,https://i.scdn.co/image/ab67616d0000b273b539c6984fe2d08f31800248,https://open.spotify.com/track/2FXd6kKCtBIc6UfN1gH1pA,2019,Long,fancy,0.874,0.775,0.697,0.0122,0.0,0.0449,132.018
Gallan 4,1SPuc7uit9YBlua4eaVz06,Talwiinder,Talwiinder,Gallan 4,single,2020-06-13,3.26,False,https://i.scdn.co/image/ab67616d0000b27321f22393aa9fd4b1fc929841,https://open.spotify.com/track/1SPuc7uit9YBlua4eaVz06,2020,Standard,gallan 4,,,,,,,
Helium,48jRAABr5TxjWHvoNWClGG,ENHYPEN,ENHYPEN,DESIRE : UNLEASH,album,2025-06-05,2.71,False,https://i.scdn.co/image/ab67616d0000b273708e8e2fec0e67fbc69f6f9c,https://open.spotify.com/track/48jRAABr5TxjWHvoNWClGG,2025,Standard,helium,,,,,,,
Still Monster,6tuTpe37ljVcrJeZAAKBE1,ENHYPEN,ENHYPEN,ORANGE BLOOD,album,2023-11-17,3.1,False,https://i.scdn.co/image/ab67616d0000b273d364c1f2a6fede40055b02d5,https://open.spotify.com/track/6tuTpe37ljVcrJeZAAKBE1,2023,Standard,still monster,,,,,,,
Paranormal,1tLq6MZA5Lqpms4AZ4CcrG,ENHYPEN,ENHYPEN,ROMANCE : UNTOLD,album,2024-07-12,2.6,False,https://i.scdn.co/image/ab67616d0000b273653887a83332de0350151f10,https://open.spotify.com/track/1tLq6MZA5Lqpms4AZ4CcrG,2024,Standard,paranormal,,,,,,,
chaandni,37JqsOUePcQU5mCPoGaM8r,sufr,"sufr, Adil",amnesia: side A,album,2025-02-02,3.25,False,https://i.scdn.co/image/ab67616d0000b2735973fafd0ac6a1439ed060d7,https://open.spotify.com/track/37JqsOUePcQU5mCPoGaM8r,2025,Standard,chaandni,,,,,,,
Outside,0IXWLMBZeK33mOb044Sxu6,ENHYPEN,ENHYPEN,DESIRE : UNLEASH,album,2025-06-05,2.02,False,https://i.scdn.co/image/ab67616d0000b273708e8e2fec0e67fbc69f6f9c,https://open.spotify.com/track/0IXWLMBZeK33mOb044Sxu6,2025,Short,outside,0.639,0.258,0.587,0.0924,4.53e-06,0.0769,94.927
bargad,0Q9rHyEG7lME4y2Fqtuxgl,sufr,"sufr, Arpit Bala, toorjo dey",bargad,single,2025-08-24,2.92,False,https://i.scdn.co/image/ab67616d0000b27369ecc359541c8a49aae7716f,https://open.spotify.com/track/0Q9rHyEG7lME4y2Fqtuxgl,2025,Standard,bargad,,,,,,,
Naal Nachna,2nnDPEbNxnBKq5RG6sObTg,Shashwat Sachdev,"Shashwat Sachdev, Afsana Khan, Irshad Kamil, Reble",Dhurandhar,album,2025-12-05,2.59,False,https://i.scdn.co/image/ab67616d0000b273c53e5adf9f81693d62f98019,https://open.spotify.com/track/2nnDPEbNxnBKq5RG6sObTg,2025,Standard,naal nachna,,,,,,,
Doubt (demo),0vsW1vAlNYiy9Y5briGT8Y,Twenty One Pilots,Twenty One Pilots,Doubt (demo),single,2025-04-09,2.97,False,https://i.scdn.co/image/ab67616d0000b27398e1032a1e26048dd4e3bd52,https://open.spotify.com/track/0vsW1vAlNYiy9Y5briGT8Y,2025,Standard,doubt (demo),,,,,,,
LAAVAN,0RWLe6Dx5cWyPuB1sw6eWf,Jasmine Sandlas,"Jasmine Sandlas, Mofusion",LAAVAN,single,2024-12-11,3.08,False,https://i.scdn.co/image/ab67616d0000b27385b1cf1e8e5879a440eecf1f,https://open.spotify.com/track/0RWLe6Dx5cWyPuB1sw6eWf,2024,Standard,laavan,,,,,,,
Lush Life,1rIKgCH4H52lrvDcz50hS8,Zara Larsson,Zara Larsson,So Good,album,2017-03-17,3.34,False,https://i.scdn.co/image/ab67616d0000b273401bf6103d4b7f5230a21582,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8,2017,Standard,lush life,0.712,0.799,0.694,0.132,0.0,0.046,98.023
Dard (Sped Up Version),48HqTYCFksBppqW7H2ryuP,Kushagra,"Kushagra, Showkidd",Dard (Sped Up Version),single,2025-07-18,2.21,False,https://i.scdn.co/image/ab67616d0000b27397a68619a1b17cdde2d73f5f,https://open.spotify.com/track/48HqTYCFksBppqW7H2ryuP,2025,Short,dard (sped up version),,,,,,,
Tamed-Dashed,1zoyteFQmeUUqyOl2Xznpy,ENHYPEN,ENHYPEN,DIMENSION : DILEMMA,album,2021-10-12,3.27,False,https://i.scdn.co/image/ab67616d0000b2736772cf096be8acc1df092519,https://open.spotify.com/track/1zoyteFQmeUUqyOl2Xznpy,2021,Standard,tamed-dashed,0.809,0.709,0.568,0.000253,3.33e-05,0.0517,155.029
Ya Ali,0CyrQNLEEplvNTeReiPUJC,Pritam,"Pritam, Zubeen Garg",Gangster (Original Motion Picture Soundtrack),album,2006-09-08,4.93,False,https://i.scdn.co/image/ab67616d0000b2730e6e110d7edcb731e569bb38,https://open.spotify.com/track/0CyrQNLEEplvNTeReiPUJC,2006,Epic,ya ali,0.774,0.782,0.626,0.185,0.0,0.0473,123.006
Sirra,3QsGq1Xd1n8qc9hwSPzQgj,Guru Randhawa,"Guru Randhawa, Kiran Bajwa, Rony Ajnali",WITHOUT PREJUDICE,album,2025-03-28,2.44,False,https://i.scdn.co/image/ab67616d0000b27353693b45bdb795a7070652d6,https://open.spotify.com/track/3QsGq1Xd1n8qc9hwSPzQgj,2025,Short,sirra,,,,,,,
Flashover,4uj7LoS14txqhRylMR4Fj1,ENHYPEN,ENHYPEN,DESIRE : UNLEASH,album,2025-06-05,2.09,False,https://i.scdn.co/image/ab67616d0000b273708e8e2fec0e67fbc69f6f9c,https://open.spotify.com/track/4uj7LoS14txqhRylMR4Fj1,2025,Short,flashover,,,,,,,
Moonstruck,3gYWGRS64XrGSrjD3vvtga,ENHYPEN,ENHYPEN,ROMANCE : UNTOLD,album,2024-07-12,2.64,False,https://i.scdn.co/image/ab67616d0000b273653887a83332de0350151f10,https://open.spotify.com/track/3gYWGRS64XrGSrjD3vvtga,2024,Standard,moonstruck,,,,,,,
Lost Island,53cWZA9OROeiYu1vHh4f4i,ENHYPEN,ENHYPEN,THE SIN : VANISH,album,2026-01-16,2.76,False,https://i.scdn.co/image/ab67616d0000b27392beb54472282ca313f34055,https://open.spotify.com/track/53cWZA9OROeiYu1vHh4f4i,2026,Standard,lost island,,,,,,,
Orange Flower (You Complete Me),5Cb3JSisvjlZhjSfYD6d7C,ENHYPEN,ENHYPEN,ORANGE BLOOD,album,2023-11-17,3.0,False,https://i.scdn.co/image/ab67616d0000b273d364c1f2a6fede40055b02d5,https://open.spotify.com/track/5Cb3JSisvjlZhjSfYD6d7C,2023,Standard,orange flower (you complete me),,,,,,,
Blessed-Cursed,7ecbsiAQ6PNdiAq0hplVZo,ENHYPEN,ENHYPEN,DIMENSION : ANSWER,album,2022-01-10,2.85,False,https://i.scdn.co/image/ab67616d0000b2731c1ea5bfa5680ac877acdd55,https://open.spotify.com/track/7ecbsiAQ6PNdiAq0hplVZo,2022,Standard,blessed-cursed,0.886,0.401,0.604,0.0925,0.0,0.061,127.098
Je te laisserai des mots,44A0o4jA8F2ZF03Zacwlwx,Patrick Watson,Patrick Watson,Je te laisserai des mots,single,2010-09-10,2.68,False,https://i.scdn.co/image/ab67616d0000b2738ea92a85c492af8a38750549,https://open.spotify.com/track/44A0o4jA8F2ZF03Zacwlwx,2010,Standard,je te laisserai des mots,,,,,,,
No Doubt,44hqFxUWsADWewEJELnncj,ENHYPEN,ENHYPEN,ROMANCE : UNTOLD -daydream-,album,2024-11-11,2.79,False,https://i.scdn.co/image/ab67616d0000b273ac9d6ee9be9186ff1a28c900,https://open.spotify.com/track/44hqFxUWsADWewEJELnncj,2024,Standard,no doubt,,,,,,,
Bills,2nfluhFVrO5OBXPzRWlwlz,ENHYPEN,ENHYPEN,DARK BLOOD,single,2023-05-22,2.93,False,https://i.scdn.co/image/ab67616d0000b2731d03b5e88cee6870778a4d27,https://open.spotify.com/track/2nfluhFVrO5OBXPzRWlwlz,2023,Standard,bills,,,,,,,
A Little More,7xqCJCrlpRSIHDDJsLeT0U,Ed Sheeran,Ed Sheeran,Play,album,2025-09-12,3.2,True,https://i.scdn.co/image/ab67616d0000b273b07c28bb3192bdfb585fb438,https://open.spotify.com/track/7xqCJCrlpRSIHDDJsLeT0U,2025,Standard,a little more,,,,,,,
God of Light Music,0xZ4WU5UfctiSeETi6pMEo,SEVENTEEN,SEVENTEEN,God of Light Music,single,2023-12-25,1.53,False,https://i.scdn.co/image/ab67616d0000b2737994bb03ec228dde677a37b3,https://open.spotify.com/track/0xZ4WU5UfctiSeETi6pMEo,2023,Short,god of light music,,,,,,,
Money On My Mind,15HsdLcI9txtlLpsHBbEjn,Sam Smith,Sam Smith,In The Lonely Hour (Deluxe),album,2014-01-01,3.21,False,https://i.scdn.co/image/ab67616d0000b273aeca5ce27cb0041319cbb734,https://open.spotify.com/track/15HsdLcI9txtlLpsHBbEjn,2014,Standard,money on my mind,,,,,,,
Sweet Venom,2YmfV4lAjrAQvuggKCUX6m,ENHYPEN,ENHYPEN,ORANGE BLOOD,album,2023-11-17,2.48,False,https://i.scdn.co/image/ab67616d0000b273d364c1f2a6fede40055b02d5,https://open.spotify.com/track/2YmfV4lAjrAQvuggKCUX6m,2023,Short,sweet venom,,,,,,,
jellyous,51pREVFJeAJGvhJ1rYCKZH,ILLIT,ILLIT,jellyous (Feat. Sophie Powers),single,2025-08-01,2.72,False,https://i.scdn.co/image/ab67616d0000b273d3f0c1aaebe2b11b0b984251,https://open.spotify.com/track/51pREVFJeAJGvhJ1rYCKZH,2025,Standard,jellyous,,,,,,,
